"ParentContainer";"ParentContainerDN";"Xylem-TimeZone";"SiteCode";"Country"
"emeadmz.net/_AccountObjects/SEEMM1/Servers";"OU=Servers,OU=SEEMM1,OU=_AccountObjects,DC=emeadmz,DC=net";;"SEEMM1";
"emeadmz.net/_AccountObjects/SEEMM1/Servers/Production";"OU=Production,OU=Servers,OU=SEEMM1,OU=_AccountObjects,DC=emeadmz,DC=net";;;
"emeadmz.net/_AccountObjects/SEEMM1/Servers/Production/FSG";"OU=FSG,OU=Production,OU=Servers,OU=SEEMM1,OU=_AccountObjects,DC=emeadmz,DC=net";;;
"emeadmz.net/_AccountObjects/SEEMM1/Servers/Test";"OU=Test,OU=Servers,OU=SEEMM1,OU=_AccountObjects,DC=emeadmz,DC=net";;;
"emeadmz.net/_AccountObjects/SEEMM1/Servers/Test/FSG";"OU=FSG,OU=Test,OU=Servers,OU=SEEMM1,OU=_AccountObjects,DC=emeadmz,DC=net";;;
"emeadmz.net/_AccountObjects/SESTO1/Servers";"OU=Servers,OU=SESTO1,OU=_AccountObjects,DC=emeadmz,DC=net";;"SESTO1";
"emeadmz.net/_GlobalServers/DSServers";"OU=DSServers,OU=_GlobalServers,DC=emeadmz,DC=net";;;
"emeadmz.net/_GlobalServers/DSServers/Jump";"OU=Jump,OU=DSServers,OU=_GlobalServers,DC=emeadmz,DC=net";;;
"emeadmz.net/Domain Controllers";"OU=Domain Controllers,DC=emeadmz,DC=net";;;
"lab.sensus.net/Computers";"CN=Computers,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/acdev";"OU=acdev,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/acdev/SQL Cluster Nodes";"OU=SQL Cluster Nodes,OU=acdev,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/aclpg";"OU=aclpg,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/aclpg/SQL Cluster Nodes";"OU=SQL Cluster Nodes,OU=aclpg,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/acmisc";"OU=acmisc,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/acmisc/SQL Cluster Nodes";"OU=SQL Cluster Nodes,OU=acmisc,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/acpeco";"OU=acpeco,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/acpeco/SQL Cluster Nodes";"OU=SQL Cluster Nodes,OU=acpeco,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/acprod";"OU=acprod,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/acprod/SQL Cluster Nodes";"OU=SQL Cluster Nodes,OU=acprod,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/actemp";"OU=actemp,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/actemp/SQL Cluster Nodes";"OU=SQL Cluster Nodes,OU=actemp,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/actest";"OU=actest,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/actest/SQL Cluster Nodes";"OU=SQL Cluster Nodes,OU=actest,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/DA/da_infrastructure";"OU=da_infrastructure,OU=DA,DC=lab,DC=sensus,DC=net";;;
"lab.sensus.net/Domain Controllers";"OU=Domain Controllers,DC=lab,DC=sensus,DC=net";;;
